source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]
syn6803_1h_before_sunrise_1	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	23 hour	1	20190103_A1_0	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_A1_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	23 hour
syn6803_1h_before_sunrise_2	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	23 hour	2	20190103_A2_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_A2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	23 hour
syn6803_1h_after_sunrise_1	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	1 hour	1	20190103_C2_5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_C2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	1 hour
syn6803_1h_after_sunrise_2	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	1 hour	2	20190103_B2_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_B2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	1 hour
syn6803_midday_1	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	6 hour	1	20190103_C1_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_C1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	6 hour
syn6803_midday_2	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	6 hour	2	20190103_B1_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_B1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	6 hour
syn6803_1h_before_sunset_1	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	11 hour	1	20190103_D1_6	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_D1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	11 hour
syn6803_1h_before_sunset_2	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	11 hour	2	20190103_D2_7	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_D2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	11 hour
syn6803_1h_after_sunset_1	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	13 hour	1	20190103_E1_8	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_E1_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	13 hour
syn6803_1h_after_sunset_2	Synechocystis sp. PCC 6803	not applicable	not applicable	not applicable	cell	study sample	13 hour	2	20190103_E2_9	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-2000m/z	1	1	20190103_E2_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	13 hour
